Date/Time,Location,Amount
2024-03-21 19:08:00,Il Forno ILFWeb1,-6.72
2024-03-21 18:57:00,Ginger and Soy GINReg2,-12.78
2024-03-21 11:25:00,Chefs Kitchen CKNReg4,-12.89
2024-03-20 19:40:00,Gothic Grill GOTWeb1,-13.96
2024-03-20 11:41:00,Gyotaku GYOReg1,-3.75
2024-03-20 11:21:00,Tandor TANReg1,-12.78
2024-03-19 18:51:00,Poblanos Poblanos 1,-15.16
2024-03-19 14:52:00,Gyotaku GYOReg1,-3.75
2024-03-19 12:05:00,Chefs Kitchen CKNReg4,-12.89
2024-03-19 10:52:00,Perk PERReg1,-4.29
2024-03-18 18:10:00,Tandor TANReg1,-12.78
2024-03-18 12:58:00,Its Thyme THYReg1,-3.21
2024-03-18 11:16:00,Chefs Kitchen CKNReg4,-12.89
2024-03-17 18:59:00,JBS JBSWeb1,-12.35
2024-03-17 14:56:00,300 Swift 300Reg2,-5.38
2024-03-17 13:11:00,Tandor TANReg1,-12.78
2024-03-06 18:25:00,Sazon SAZReg1,-16.0
2024-03-06 11:58:00,Perk PERReg1,-4.29
2024-03-06 11:32:00,OP ePrint MR-Perkins,-0.6
2024-03-05 18:51:00,Tandor TANReg1,-12.78
2024-03-05 14:53:00,Gyotaku GYOReg1,-3.75
2024-03-05 12:53:00,Chefs Kitchen CKNReg4,-12.89
2024-03-04 18:11:00,Its Thyme THYReg1,-13.85
2024-03-04 13:16:00,Chefs Kitchen CKNReg4,-12.89
2024-03-03 18:33:00,Il Forno ILFReg1,-12.35
2024-03-03 12:21:00,Lobby Shop 7200-28-NET-LS,-2.03
2024-03-03 12:06:00,Tandor TANReg1,-12.78
2024-03-02 19:08:00,Gyotaku GYOReg1,-2.35
2024-03-02 19:01:00,Ginger and Soy GINReg2,-6.22
2024-03-02 13:07:00,Gyotaku GYOReg1,-3.75
2024-03-17 13:11:00,Tandor TANReg1,-12.78
2024-03-06 18:25:00,Sazon SAZReg1,-16.0
2024-03-06 11:58:00,Perk PERReg1,-4.29
2024-03-06 11:32:00,OP ePrint MR-Perkins,-0.6
2024-03-05 18:51:00,Tandor TANReg1,-12.78
2024-03-05 14:53:00,Gyotaku GYOReg1,-3.75
2024-03-05 12:53:00,Chefs Kitchen CKNReg4,-12.89
2024-03-04 18:11:00,Its Thyme THYReg1,-13.85
2024-03-04 13:16:00,Chefs Kitchen CKNReg4,-12.89
2024-03-03 18:33:00,Il Forno ILFReg1,-12.35
2024-03-03 12:21:00,Lobby Shop 7200-28-NET-LS,-2.03
2024-03-03 12:06:00,Tandor TANReg1,-12.78
2024-03-02 19:08:00,Gyotaku GYOReg1,-2.35
2024-03-02 19:01:00,Ginger and Soy GINReg2,-6.22
2024-03-02 13:07:00,Gyotaku GYOReg1,-3.75
2024-02-18 18:47:00,Gyotaku GYOReg1,-2.78
2024-02-18 18:29:00,Ginger and Soy GINWeb1,-12.24
2024-02-18 14:38:00,Perk PERReg1,-2.68
2024-02-18 11:48:00,Panera PCWS01,-13.74
2024-02-17 12:08:00,Ginger and Soy GINReg2,-12.78
2024-02-16 18:10:00,Sazon SAZReg1,-16.0
2024-02-16 12:04:00,Gyotaku GYOReg1,-3.75
2024-02-16 11:52:00,Tandor TANReg1,-12.78
2024-02-15 14:53:00,Gyotaku GYOReg1,-2.78
2024-02-15 11:26:00,Tandor TANReg1,-12.78
2024-02-14 20:09:00,JBS JBSReg1,-20.41
2024-02-14 11:39:00,Gyotaku GYOReg1,-3.75
2024-02-14 11:28:00,Tandor TANReg1,-12.78
2024-02-13 18:27:00,Bulkogi Bulkogi 1,-17.95
2024-02-13 12:32:00,Chefs Kitchen CKNReg4,-12.89
2024-02-13 10:26:00,Perk PERReg1,-6.12
2024-02-07 17:04:00,Gyotaku GYOReg1,-13.74
2024-02-07 11:49:00,Tandor TANReg1,-12.78
2024-02-06 14:49:00,Gyotaku GYOReg1,-2.78
2024-02-06 11:57:00,Chefs Kitchen CKNReg4,-12.89
2024-02-06 10:11:00,Sprout SPRWeb1,-8.59
2024-02-05 18:38:00,300 Swift 300Reg2,-5.91
2024-02-05 18:11:00,Tandor TANReg1,-12.78
2024-02-05 13:12:00,Chefs Kitchen CKNReg4,-12.89
2024-02-04 19:35:00,Gyotaku GYOReg1,-2.78
2024-02-04 18:25:00,Ginger and Soy GINWeb1,-6.22
2024-02-03 17:16:00,300 Swift 300Reg2,-2.15
2024-02-02 19:38:00,Ginger and Soy GINReg1,-14.61
2024-02-02 12:40:00,Twinnies TWIReg2,-8.28
2024-02-02 12:09:00,Tandor TANReg1,-12.78
2024-02-01 17:24:00,Gyotaku GYOReg1,-12.34
2024-02-01 13:03:00,The Cafe CAFReg2,-6.44
2024-02-01 12:47:00,Ginger and Soy GINReg1,-16.1
2024-01-31 14:37:00,Beyu Blue BYBReg1,-3.0
2024-01-31 14:04:00,Tandor TANReg1,-12.78
2024-01-30 18:28:00,Farmstead FARReg1,-17.19
2024-01-30 12:08:00,Chefs Kitchen CKNReg4,-12.89
2024-01-29 18:24:00,Tandor TANReg1,-12.78
2024-01-29 14:47:00,Perk PERReg1,-4.29
2024-01-29 13:09:00,Gyotaku GYOReg1,-2.78
2024-01-29 11:23:00,The Cafe CAFWeb1,-11.38
2024-01-28 18:17:00,Ginger and Soy GINReg1,-14.61
2024-01-28 13:29:00,Ginger and Soy GINReg1,-3.75
2024-01-28 12:55:00,JBS JBSWeb1,-16.75
2024-01-27 18:21:00,Sprout SPRWeb1,-12.35
2024-02-01 17:24:00,Gyotaku GYOReg1,-12.34
2024-02-01 13:03:00,The Cafe CAFReg2,-6.44
2024-02-01 12:47:00,Ginger and Soy GINReg1,-16.1
2024-01-31 14:37:00,Beyu Blue BYBReg1,-3.0
2024-01-31 14:04:00,Tandor TANReg1,-12.78
2024-01-30 18:28:00,Farmstead FARReg1,-17.19
2024-01-30 12:08:00,Chefs Kitchen CKNReg4,-12.89
2024-01-29 18:24:00,Tandor TANReg1,-12.78
2024-01-29 14:47:00,Perk PERReg1,-4.29
2024-01-29 13:09:00,Gyotaku GYOReg1,-2.78
2024-01-29 11:23:00,The Cafe CAFWeb1,-11.38
2024-01-28 18:17:00,Ginger and Soy GINReg1,-14.61
2024-01-28 13:29:00,Ginger and Soy GINReg1,-3.75
2024-01-28 12:55:00,JBS JBSWeb1,-16.75
2024-01-27 18:21:00,Sprout SPRWeb1,-12.35
2024-01-22 13:09:00,Gyotaku GYOReg1,-3.75
2024-01-22 11:22:00,Chefs Kitchen CKNReg4,-12.89
2024-01-21 19:46:00,Ginger and Soy GINReg2,-12.78
2024-01-21 12:27:00,Its Thyme THYReg1,-16.0
2024-01-20 10:08:00,Skillet SKIReg1,-10.2
2024-01-19 18:49:00,JBS JBSReg1,-5.36
2024-01-19 18:31:00,Tandor TANReg1,-12.78
2024-01-19 12:51:00,Chefs Kitchen CKNReg4,-12.89
2024-01-18 19:40:00,Sprout SPRWeb1,-10.74
2024-01-18 14:52:00,Gyotaku GYOReg1,-2.78
2024-01-18 10:54:00,Perk PERReg1,-4.29
2024-01-18 10:27:00,The Cafe CAFReg2,-9.34
2024-01-17 18:40:00,Tandor TANReg1,-12.78
2024-01-17 11:12:00,Tandor TANReg1,-12.78
2024-01-16 18:43:00,Its Thyme THYReg1,-12.78
2024-01-22 13:09:00,Gyotaku GYOReg1,-3.75
2024-01-22 11:22:00,Chefs Kitchen CKNReg4,-12.89
2024-01-21 19:46:00,Ginger and Soy GINReg2,-12.78
2024-01-21 12:27:00,Its Thyme THYReg1,-16.0
2024-01-20 10:08:00,Skillet SKIReg1,-10.2
2024-01-19 18:49:00,JBS JBSReg1,-5.36
2024-01-19 18:31:00,Tandor TANReg1,-12.78
2024-01-19 12:51:00,Chefs Kitchen CKNReg4,-12.89
2024-01-18 19:40:00,Sprout SPRWeb1,-10.74
2024-01-18 14:52:00,Gyotaku GYOReg1,-2.78
2024-01-18 10:54:00,Perk PERReg1,-4.29
2024-01-18 10:27:00,The Cafe CAFReg2,-9.34
2024-01-17 18:40:00,Tandor TANReg1,-12.78
2024-01-17 11:12:00,Tandor TANReg1,-12.78
2024-01-16 18:43:00,Its Thyme THYReg1,-12.78
2024-01-10 12:17:00,Its Thyme THYReg1,-12.78
2024-01-04 12:58:00,DukeCard Offices DCO TelOfc Manual,3.44
2024-01-04 11:40:00,DukeCard Offices DCO TelOfc Manual,140.1
2024-01-04 11:40:00,DukeCard Offices DCO TelOfc Manual,1868.0
2023-12-16 11:48:00,Sprout SPRWeb1,-10.74
2023-12-15 20:05:00,OP ePrint MR-Perkins,-0.3
2023-12-15 20:05:00,EAccounts EAccounts,15.0
2023-12-15 20:03:00,General ePrint ePr-Lib-Perkins-Circ-Desk-01,-0.04
2023-12-15 20:02:00,General ePrint ePr-Lib-Perkins-Circ-Desk-01,-0.04
2023-12-15 18:50:00,Ginger and Soy GINReg2,-12.89
2023-12-15 11:52:00,Tandor TANReg1,-12.78
2023-12-14 18:08:00,Sprout SPRWeb1,-10.74
2023-12-14 11:04:00,Panera PCWS02,-14.6
2023-12-13 19:07:00,Tandor TANReg1,-12.78
2023-12-13 11:51:00,Sprout SPRReg1,-17.19
2024-01-10 12:17:00,Its Thyme THYReg1,-12.78
2024-01-04 12:58:00,DukeCard Offices DCO TelOfc Manual,3.44
2024-01-04 11:40:00,DukeCard Offices DCO TelOfc Manual,140.1
2024-01-04 11:40:00,DukeCard Offices DCO TelOfc Manual,1868.0
2023-12-16 11:48:00,Sprout SPRWeb1,-10.74
2023-12-15 20:05:00,OP ePrint MR-Perkins,-0.3
2023-12-15 20:05:00,EAccounts EAccounts,15.0
2023-12-15 20:03:00,General ePrint ePr-Lib-Perkins-Circ-Desk-01,-0.04
2023-12-15 20:02:00,General ePrint ePr-Lib-Perkins-Circ-Desk-01,-0.04
2023-12-15 18:50:00,Ginger and Soy GINReg2,-12.89
2023-12-15 11:52:00,Tandor TANReg1,-12.78
2023-12-14 18:08:00,Sprout SPRWeb1,-10.74
2023-12-14 11:04:00,Panera PCWS02,-14.6
2023-12-13 19:07:00,Tandor TANReg1,-12.78
2023-12-13 11:51:00,Sprout SPRReg1,-17.19
2023-11-27 21:01:00,General ePrint ePr-OIT-Swift300LX,-0.28
2023-11-27 21:00:00,300 Swift 300Reg2,-5.38
2023-11-27 18:26:00,Gyotaku GYOReg1,-11.81
2023-11-27 14:38:00,Tandor TANReg1,-12.78
2023-11-16 11:26:00,Gyotaku GYOReg1,-12.34
2023-11-16 09:47:00,Sanford Deli SANReg1,-2.68
2023-11-15 18:52:00,Tandor TANReg1,-12.78
2023-11-15 14:46:00,Ginger and Soy GINReg1,-3.75
2023-11-14 18:16:00,Ginger and Soy GINReg1,-14.61
2023-11-14 11:28:00,Chefs Kitchen CKNReg1,-16.01
2023-11-14 09:48:00,Sanford Deli SANReg1,-4.29
2023-11-13 21:42:00,General ePrint ePr-OIT-Swift300LX,-0.48
2023-11-13 18:20:00,Ginger and Soy GINReg2,-12.78
2023-11-13 12:53:00,The Cafe CAFReg2,-6.44
2023-11-13 12:35:00,Tandor TANReg1,-12.78
2023-11-12 19:03:00,Gyotaku GYOReg1,-12.34
2023-11-12 14:19:00,300 Swift 300Web1,-15.03
2023-11-11 12:35:00,300 Swift 300Web1,-12.35
2023-11-10 13:49:00,300 Swift 300Web1,-11.81
2023-11-09 18:25:00,Ginger and Soy GINReg2,-12.78
2023-11-09 13:21:00,Gothic Grill GOTReg1,-17.18
2023-11-09 09:58:00,The Cafe CAFReg2,-3.0
2023-11-08 18:27:00,JBS JBSWeb1,-13.96
2023-11-08 14:49:00,The Cafe CAFReg2,-2.57
2023-11-08 12:51:00,Chefs Kitchen CKNReg1,-12.78
2023-11-07 17:22:00,Tandor TANReg1,-12.78
2023-11-07 11:24:00,Gyotaku GYOReg1,-11.81
2023-11-07 09:52:00,Beyu Blue BYBReg1,-4.29
2023-11-07 09:46:00,Sanford Deli SANReg1,-4.29
2023-11-06 18:15:00,Ginger and Soy GINReg1,-14.61
2023-11-12 19:03:00,Gyotaku GYOReg1,-12.34
2023-11-12 14:19:00,300 Swift 300Web1,-15.03
2023-11-11 12:35:00,300 Swift 300Web1,-12.35
2023-11-10 13:49:00,300 Swift 300Web1,-11.81
2023-11-09 18:25:00,Ginger and Soy GINReg2,-12.78
2023-11-09 13:21:00,Gothic Grill GOTReg1,-17.18
2023-11-09 09:58:00,The Cafe CAFReg2,-3.0
2023-11-08 18:27:00,JBS JBSWeb1,-13.96
2023-11-08 14:49:00,The Cafe CAFReg2,-2.57
2023-11-08 12:51:00,Chefs Kitchen CKNReg1,-12.78
2023-11-07 17:22:00,Tandor TANReg1,-12.78
2023-11-07 11:24:00,Gyotaku GYOReg1,-11.81
2023-11-07 09:52:00,Beyu Blue BYBReg1,-4.29
2023-11-07 09:46:00,Sanford Deli SANReg1,-4.29
2023-11-06 18:15:00,Ginger and Soy GINReg1,-14.61
2023-10-11 12:55:00,Sazon SAZReg1,-17.5
2023-10-10 17:49:00,Gothic Grill GOTReg2,-12.89
2023-10-10 11:36:00,JBS JBSReg1,-12.89
2023-10-09 22:14:00,General ePrint ePr-OIT-Swift300LX,-0.28
2023-10-09 22:03:00,General ePrint ePr-OIT-Swift300LX,-0.28
2023-10-09 13:02:00,Tandor TANReg1,-12.78
2023-10-08 18:54:00,JBS JBSReg1,-18.26
2023-10-08 11:56:00,Ginger and Soy GINReg2,-12.78
2023-10-07 19:59:00,Il Forno ILFWeb1,6.72
2023-10-07 19:28:00,Il Forno ILFWeb1,-6.72
2023-10-07 19:15:00,Tandor TANReg1,-12.78
2023-10-07 12:41:00,Ginger and Soy GINReg1,-2.78
2023-10-06 11:20:00,Tandor TANReg1,-12.78
2023-10-05 18:36:00,Ginger and Soy GINReg2,-12.78
2023-10-05 13:18:00,JBS JBSReg1,-16.11
2023-09-25 18:06:00,Ginger and Soy GINReg2,-12.89
2023-09-25 13:10:00,JBS JBSReg1,-16.11
2023-09-23 16:52:00,Tandor TANReg1,-12.78
2023-09-22 18:44:00,JBS JBSReg1,-16.11
2023-09-22 16:18:00,General ePrint ePr-OIT-Swift300LX,-0.08
2023-09-22 13:31:00,Chefs Kitchen CKNReg1,-12.78
2023-09-21 11:27:00,JBS JBSReg1,-16.11
2023-09-21 09:56:00,The Cafe CAFReg2,-6.44
2023-09-20 12:45:00,JBS JBSWeb1,-12.99
2023-09-19 17:29:00,Tandor TANReg1,-12.78
2023-09-19 11:24:00,Chefs Kitchen CKNReg1,-12.78
2023-09-18 18:12:00,Tandor TANReg1,-12.78
2023-09-18 12:43:00,Ginger and Soy GINWeb1,-12.24
2023-09-15 19:05:00,Ginger and Soy GINReg1,-14.61
2023-09-15 13:49:00,Tandor TANReg1,-12.78
2023-09-25 18:06:00,Ginger and Soy GINReg2,-12.89
2023-09-25 13:10:00,JBS JBSReg1,-16.11
2023-09-23 16:52:00,Tandor TANReg1,-12.78
2023-09-22 18:44:00,JBS JBSReg1,-16.11
2023-09-22 16:18:00,General ePrint ePr-OIT-Swift300LX,-0.08
2023-09-22 13:31:00,Chefs Kitchen CKNReg1,-12.78
2023-09-21 11:27:00,JBS JBSReg1,-16.11
2023-09-21 09:56:00,The Cafe CAFReg2,-6.44
2023-09-20 12:45:00,JBS JBSWeb1,-12.99
2023-09-19 17:29:00,Tandor TANReg1,-12.78
2023-09-19 11:24:00,Chefs Kitchen CKNReg1,-12.78
2023-09-18 18:12:00,Tandor TANReg1,-12.78
2023-09-18 12:43:00,Ginger and Soy GINWeb1,-12.24
2023-09-15 19:05:00,Ginger and Soy GINReg1,-14.61
2023-09-15 13:49:00,Tandor TANReg1,-12.78
2023-05-02 19:34:00,The Cafe CAFReg2,-7.08
2023-05-02 19:19:00,Tandor TANReg1,-13.92
2023-05-02 16:34:00,Gyotaku GYOReg1,-12.9
2023-05-02 10:37:00,The Cafe CAFReg2,-14.67
2023-05-01 21:43:00,Laundry - ASI LR - House FF,-1.25
2023-05-01 21:00:00,Laundry - ASI LR - House FF,-1.5
2023-05-01 20:58:00,Laundry - ASI LR - House FF,-1.25
2023-05-01 20:21:00,Laundry - ASI LR - House FF,-1.5
2023-05-01 18:35:00,JBS JBSReg1,-16.13
2023-05-01 12:10:00,Lobby Shop 7200-28-NET-LS,-3.25
2023-05-01 11:49:00,Tandor TANReg1,-13.92
2023-04-30 18:09:00,Devils Krafthouse KRAReg1,-10.74
2023-04-30 17:54:00,Il Forno ILFReg1,-12.35
2023-04-30 17:35:00,The Cafe CAFReg2,-6.4
2023-04-30 12:41:00,The Cafe CAFReg2,-13.38
2023-05-02 19:34:00,The Cafe CAFReg2,-7.08
2023-05-02 19:19:00,Tandor TANReg1,-13.92
2023-05-02 16:34:00,Gyotaku GYOReg1,-12.9
2023-05-02 10:37:00,The Cafe CAFReg2,-14.67
2023-05-01 21:43:00,Laundry - ASI LR - House FF,-1.25
2023-05-01 21:00:00,Laundry - ASI LR - House FF,-1.5
2023-05-01 20:58:00,Laundry - ASI LR - House FF,-1.25
2023-05-01 20:21:00,Laundry - ASI LR - House FF,-1.5
2023-05-01 18:35:00,JBS JBSReg1,-16.13
2023-05-01 12:10:00,Lobby Shop 7200-28-NET-LS,-3.25
2023-05-01 11:49:00,Tandor TANReg1,-13.92
2023-04-30 18:09:00,Devils Krafthouse KRAReg1,-10.74
2023-04-30 17:54:00,Il Forno ILFReg1,-12.35
2023-04-30 17:35:00,The Cafe CAFReg2,-6.4
2023-04-30 12:41:00,The Cafe CAFReg2,-13.38
2023-04-20 19:33:00,Nasher Cafe Nashers Reg 5,-63.15
2023-04-20 11:35:00,Chefs Kitchen CKNReg1,-15.75
2023-04-19 22:59:00,Laundry - ASI LR - House FF,-1.25
2023-04-19 22:13:00,Laundry - ASI LR - House FF,-1.5
2023-04-19 19:17:00,Tandor TANReg1,-13.92
2023-04-19 11:45:00,Devils Krafthouse KRAWeb1,-12.31
2023-04-18 18:13:00,Panda Express PANReg2,-37.63
2023-04-18 11:38:00,Ginger and Soy GINReg2,-15.27
2023-04-17 19:13:00,Devils Krafthouse KRAWeb1,-15.7
2023-04-17 12:40:00,Chefs Kitchen CKNReg1,-12.64
2023-04-16 22:22:00,Devils Krafthouse KRAWeb1,-10.74
2023-04-16 21:47:00,Devils Krafthouse KRAWeb1,-15.7
2023-04-16 14:31:00,McDonalds MCDWeb1,-10.08
2023-04-15 13:05:00,Laundry - ASI LR - House FF,-1.25
2023-04-15 12:33:00,Laundry - ASI LR - House FF,-1.5
2023-04-12 14:07:00,Commons COMReg1,-3.44
2023-04-12 13:43:00,Commons COMReg1,-34.47
2023-04-11 18:19:00,Ginger and Soy GINReg2,-12.79
2023-04-11 11:37:00,Chefs Kitchen CKNReg1,-15.75
2023-04-10 21:58:00,General ePrint ePr-OIT-West,-0.08
2023-04-10 20:12:00,Tandor TANReg1,-13.92
2023-04-10 12:17:00,Chefs Kitchen CKNReg1,-12.64
2023-04-09 19:57:00,Ginger and Soy GINReg2,-12.69
2023-04-09 12:31:00,Sprout SPRReg1,-16.93
2023-04-08 20:10:00,The Cafe CAFReg2,-3.55
2023-04-08 19:48:00,Il Forno ILFReg1,-12.09
2023-04-08 13:46:00,Tandor TANReg1,-13.92
2023-04-07 19:32:00,Tandor TANReg1,-13.92
2023-04-07 12:06:00,Chefs Kitchen CKNReg1,-15.75
2023-04-06 19:12:00,Ginger and Soy GINReg2,-12.79
2023-04-01 11:25:00,The Cafe CAFReg2,-7.69
2023-03-31 20:17:00,Lobby Shop 7200-28-NET-LS,-2.64
2023-03-31 12:27:00,Chefs Kitchen CKNReg1,-12.64
2023-03-30 20:01:00,Ginger and Soy GINReg2,-15.27
2023-03-30 11:58:00,Chefs Kitchen CKNReg1,-3.11
2023-03-30 11:37:00,Chefs Kitchen CKNReg1,-12.64
2023-03-29 19:42:00,Ginger and Soy GINReg2,-12.79
2023-03-29 17:05:00,The Cafe CAFReg2,-7.1
2023-03-29 12:04:00,Chefs Kitchen CKNReg1,-12.64
2023-03-29 10:12:00,Perk PERReg1,-3.01
2023-03-28 18:52:00,Tandor TANReg1,-13.92
2023-03-28 11:39:00,Chefs Kitchen CKNReg1,-15.75
2023-03-27 20:03:00,Ginger and Soy GINReg2,-12.9
2023-03-27 11:31:00,Chefs Kitchen CKNReg1,-12.64
2023-03-26 19:39:00,Tandor TANReg1,-13.92
2023-04-01 11:25:00,The Cafe CAFReg2,-7.69
2023-03-31 20:17:00,Lobby Shop 7200-28-NET-LS,-2.64
2023-03-31 12:27:00,Chefs Kitchen CKNReg1,-12.64
2023-03-30 20:01:00,Ginger and Soy GINReg2,-15.27
2023-03-30 11:58:00,Chefs Kitchen CKNReg1,-3.11
2023-03-30 11:37:00,Chefs Kitchen CKNReg1,-12.64
2023-03-29 19:42:00,Ginger and Soy GINReg2,-12.79
2023-03-29 17:05:00,The Cafe CAFReg2,-7.1
2023-03-29 12:04:00,Chefs Kitchen CKNReg1,-12.64
2023-03-29 10:12:00,Perk PERReg1,-3.01
2023-03-28 18:52:00,Tandor TANReg1,-13.92
